web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,position,data4,title2,title3,data5,data6,data7,position2,data8,data9,image,image2,image3,image4,image5
"1775804987-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","شقة للبيع باقل سعر في الماركت برايم لوكيشن في المراس","Fifth Square Compound - AlMarasem","16,000,000 EGP","– 59,259 EGP/m²","270 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","3","11","/","3","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/697f716ae1ffe792884650.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/697f715063333240120584.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/697f7152c2642592703769.jpg","","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804987-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","شقة بحديقة Semi Finished For sale in Midtown Compound - Better Home","Midtown Compound - Better Home","12,000,000 EGP","– 51,063 EGP/m²","235 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","5","8","/","4","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2402/65ccf3c45b195141363587.jpeg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2402/65ccf3c1ecfc9308283833.jpeg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2402/65ccf3c090dbc825309178.jpeg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2203/6220c63f4f409651798245.jpg"
"1775804987-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","تاون هاوس  For sale in Group 25","Group 25","15,870,000 EGP","– 75,213 EGP/m²","211 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","3","10","/","3","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b67d9a2acfc403933357.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b67d9a92ad9761940812.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b67d9a8a39e684383205.jpg","",""
"1775804987-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","CSA- Own a studio in New Cairo Sarai with installments over 12 years","Esse Residence - Sarai","2,545,000 EGP","– 31,419 EGP/m²","81 m²","11","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","1","","/","1","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/69664dbe99cd8928274956.jpg",""
"1775804987-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","Apartment For sale in El Patio Oro Compound - La Vista","El Patio Oro Compound - La Vista","10,600,000 EGP","– 64,242 EGP/m²","165 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","","/","2","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/646e114044ece454400761.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2508/68a332d473365911578651.jpeg"
"1775804987-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","بنتهاوس  For sale in Galleria Moon Valley Compound - Arabia","Galleria Moon Valley Compound - Arabia","17,500,000 EGP","– 51,928 EGP/m²","337 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","4","","/","4","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b2a0de8db7e242891350.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2508/68a332d473365911578651.jpeg"
"1775804987-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","apartment for sale 211m new cairo 5th settlement beit al watan","Fourth Neighborhood","5,425,000 EGP","– 25,710 EGP/m²","211 m²","7","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","","/","3","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69aff6d1010a6270418439.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
"1775804987-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","Basement 240 sqm + 120 sqm Garden – Private Ground Apartment | Full Sea View","Mohamed Rahim St","4,500,000 EGP","– 18,750 EGP/m²","240 m²","3","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","4","","/","3","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699cdef3322e1831607628.jpg",""
"1775804987-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","Apartment For sale in Stone Residence - PRE","Stone Residence - PRE","6,000,000 EGP","– 34,285 EGP/m²","175 m²","11","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","","/","3","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b2b19d1619e043336275.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804987-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","شقق للبيع في القرنفل 1","El Kornfol 1","7,000,000 EGP","– 31,818 EGP/m²","220 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","","/","3","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/696d0f8b24758191232543.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2203/6220c63f4f409651798245.jpg"
"1775804987-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","Two-bedroom apartment, 113 sq m, for sale with a down payment of 735,000 in Saray on the Suez Road - CSA","Sarai Compound - Madinet Masr","3,680,000 EGP","– 32,566 EGP/m²","113 m²","9","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","","/","1","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/694a730c76e8d489779276.jpg",""
"1775804987-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","شقة للبيع 196 متر بمنطقة بيت الوطن الحي الثاني التجمع الخامس","Second Neighborhood","5,050,000 EGP","– 25,765 EGP/m²","196 m²","2","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","","/","3","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b67c7d8d3cb650875904.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
"1775804987-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","For sale - Apartment 149 M² Super lux","Fifth Square Compound - AlMarasem","11,257,000 EGP","– 75,550 EGP/m²","149 m²","4","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","","/","3","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ba637ef274e722877712.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804987-14","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","Studio apartment for sale in Sarai Compound with a garden, with a down payment of 373,000 - CH","Elm Tree Park - Sarai Compound - Madinet Masr","3,736,000 EGP","– 98,315 EGP/m²","38 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","1","","/","1","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/696e37eccdd08689629255.jpg",""
"1775804987-15","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=8","apartment for sale 180m with garden 131m new cairo 5th settlement beit al watan","Fourth Neighborhood","4,650,000 EGP","– 25,833 EGP/m²","180 m²","4","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","","/","3","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b6a9634ad1a795974041.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
