web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,position,data4,title2,data5,title3,position2,data6,data7,data8,image,image2,image3,image4,image5
"1775805129-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=18","Apartment 205 M² For sale in Second Neighborhood","Second Neighborhood","4,900,000 EGP","– 23,902 EGP/m²","205 m²","","New Cairo - 5th Settlement","Call","Discover More","","17","3","/","3","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7d941361e3924035279.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7d99dca366379064069.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7d99e36312719751357.jpg","",""
"1775805129-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=18","دوبلكس  For sale in Lotus South","Lotus South","6,500,000 EGP","– 20,312 EGP/m²","320 m²","","New Cairo - 5th Settlement","WhatsApp","Discover More","WhatsApp","7","4","/","4","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7cd5841063328472378.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7cd57a32ff321349695.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7cd5817d4c826632170.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2302/63f21303a4130207234173.jpg"
"1775805129-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=18","(YA) Apartment  For sale in Phase 8","Phase 8","6,300,000 EGP","– 63,636 EGP/m²","99 m²","","New Cairo - 5th Settlement","WhatsApp","Discover More","WhatsApp","6","2","/","1","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6ae4ff31b3709674247.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6ae502c4d1167615667.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6ae502bfdc402469742.jpg","","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2507/6875084b3fbff311885712.png"
"1775805129-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=18","lowest price semi furnished Penthouse 210m for sale in village Gate Palm Hills New Cairo","Village Gate Compound - Palm Hills","10,288,888 EGP","– 48,994 EGP/m²","210 m²","10","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","3","/","3","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7c94fae80b858062370.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/logo/1808/5b7f27eccd135.jpeg"
"1775805129-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=18","Apartment 220 M² For sale in Zaid Ebn Haretha St.","Zaid Ebn Haretha St.","8,500,000 EGP","– 38,636 EGP/m²","220 m²","35","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","3","/","3","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7bb1a24651079656232.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775805129-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=18","Apartment For sale in First Neighborhood","First Neighborhood","6,000,000 EGP","– 24,096 EGP/m²","249 m²","4","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","3","/","3","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7cf893b2f6241437320.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2302/63f21303a4130207234173.jpg"
"1775805129-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=18","(YA) Apartment For sale in Phase 7","Phase 7","9,200,000 EGP","– 56,790 EGP/m²","162 m²","5","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","3","/","2","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6ad7594085609657784.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2507/6875084b3fbff311885712.png"
"1775805129-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=18","furnished Apartment for sale Compound Village Gate Palm Hills New Cairo","Village Gate Compound - Palm Hills","7,500,000 EGP","– 51,369 EGP/m²","146 m²","15","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","2","/","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7c2b69ce67238850952.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/logo/1808/5b7f27eccd135.jpeg"
"1775805129-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=18","Apartment For sale in First Neighborhood","First Neighborhood","5,970,000 EGP","– 27,136 EGP/m²","220 m²","3","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","3","/","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7ce93a861d182975427.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2302/63f21303a4130207234173.jpg"
"1775805129-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=18","Under market price Apartment sale Compound LA vista El Patio Oro New Cairo","El Patio Oro Compound - La Vista","10,999,999 EGP","– 52,380 EGP/m²","210 m²","12","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","3","/","3","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7c342d2424721942466.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/logo/1808/5b7f27eccd135.jpeg"
