web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,position,data4,title2,title3,data5,data6,position2,data7,data8,image,image2,image3,image4,image5
"1775805200-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=21","شقة للبيع بالتقسيط في الأندلس بجوار الواتر واي ٣ وخدمات لماونتن ڤيو","El Andalus Family","2,700,000 EGP","– 20,769 EGP/m²","130 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Discover More","3","5","/","1","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d65ff2a6897571921383.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d65ff36f69f202465848.png","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d65ff3e359f205021424.png","",""
"1775805200-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=21","عيادات For sale in Ozone Medical Center - Catalyst","Ozone Medical Center - Catalyst","4,560,000 EGP","– 120,000 EGP/m²","38 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Discover More","1","11","/","1","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2203/622152a04f420628468671.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2203/6221520c84e99256249494.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2203/622152a0818b2754382328.jpg","","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2508/68a332d473365911578651.jpeg"
"1775805200-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=21","Apartment Extra super lux For sale in Al-Gabri St.","Al-Gabri St.","7,500,000 EGP","– 35,714 EGP/m²","210 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Discover More","2","16","/","2","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7c0b3cde15533648068.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7c0b3121f9005261294.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7c0b320493905323434.jpg","","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2502/67a89866ea7c7881734652.jpg"
"1775805200-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=21","130 m² Apartment for Sale in Sky Condos, Villette – New Cairo semi furnished","Sky Condos Compound - Villette","16,000,000 EGP","– 123,076 EGP/m²","130 m²","17","New Cairo - 5th Settlement","WhatsApp","Call","","","","/","","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7b67f5cb08293928966.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2511/691db0080018d466609756.jpeg"
"1775805200-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=21","Private For sale in Zakaria Ahmed St.","Zakaria Ahmed St.","9,000,000 EGP","– 37,500 EGP/m²","240 m²","8","New Cairo - 5th Settlement","WhatsApp","Call","","","","/","","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6876aeb486274049471.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2604/69d3b4bb6994e690753550.png"
"1775805200-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=21","Apartment For sale in Fourth Neighborhood","Fourth Neighborhood","5,770,000 EGP","– 25,086 EGP/m²","230 m²","3","New Cairo - 5th Settlement","WhatsApp","Call","","3","","/","3","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6983390871874921121329.jpg",""
"1775805200-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=21","Apartment 120 M² Semi Finished in El Gezira St.","El Gezira St.","2,600,000 EGP","– 21,666 EGP/m²","120 m²","4","New Cairo - 5th Settlement","WhatsApp","Call","","2","","/","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7b3bf145b4968467319.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2512/694288ec0b524096085598.png"
"1775805200-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=21","Apartment in El Kornfol 3 235 M² Semi Finished For sale","El Kornfol 3","5,500,000 EGP","– 23,404 EGP/m²","235 m²","6","New Cairo - 5th Settlement","WhatsApp","Call","","3","","/","2","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7a862144de671503304.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2601/696f94c005e99983952272.jpg"
"1775805200-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=21","شقة بحديقة For sale in New Narges","New Narges","3,700,000 EGP","– 26,428 EGP/m²","140 m²","3","New Cairo - 5th Settlement","WhatsApp","Call","","3","","/","2","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d274b7d4657190289610.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2302/63f21303a4130207234173.jpg"
"1775805200-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=21","Apartment 108 M² For sale in Youssef El-Sebaey St.","Youssef El-Sebaey St.","5,450,000 EGP","– 50,462 EGP/m²","108 m²","2","New Cairo - 5th Settlement","WhatsApp","Call","","","","/","","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d50ec8a2b40903297487.jpg",""
